date,state,fips,measure,data_quality_grade,positive tests,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month,pos_test_7da
2020-07-04,WV,54,positive,B,3141,4,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-04,WY,56,positive,B,1606,4,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,AK,02,positive,A,1063,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,AL,01,positive,B,41865,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,AR,05,positive,A,22622,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,AZ,04,positive,A+,91858,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,CA,06,positive,B,248235,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,CO,08,positive,A,33352,3,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,CT,09,positive,B,46717,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,DC,11,positive,A+,10435,3,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,DE,10,positive,A+,11923,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,FL,12,positive,A,178594,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,GA,13,positive,A,90493,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,HI,15,positive,D,946,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,IA,19,positive,A+,30429,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,ID,16,positive,A,6593,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,IL,17,positive,A,146872,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,IN,18,positive,A+,46915,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,KS,20,positive,A,15919,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,KY,21,positive,B,16376,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,LA,22,positive,B,63289,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,MA,25,positive,A+,109628,3,113,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,MD,24,positive,A,68961,3,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,ME,23,positive,A+,3373,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,MI,26,positive,A+,72175,3,124,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,MN,27,positive,A,37624,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,MO,29,positive,B,22830,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,MS,28,positive,A,28770,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,MT,30,positive,C,1128,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,NC,37,positive,A,70241,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,ND,38,positive,D,3722,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,NE,31,positive,B,19452,3,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,NH,33,positive,B,5822,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,NJ,34,positive,A+,172742,3,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,NM,35,positive,B,12520,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,NV,32,positive,A+,20718,3,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,NY,36,positive,A,395872,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,OH,39,positive,B,55257,3,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,OK,40,positive,A+,15065,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,OR,41,positive,A+,9294,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,PA,42,positive,A+,88741,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,RI,44,positive,A+,16991,3,124,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,SC,45,positive,A,41532,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,SD,46,positive,B,6978,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,TN,47,positive,B,48712,3,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,TX,48,positive,B,183532,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,UT,49,positive,A+,23866,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,VA,51,positive,A+,64393,3,120,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,VT,50,positive,B,1236,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,WA,53,positive,B,34151,3,163,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,WI,55,positive,A+,33431,3,121,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,WV,54,positive,B,3126,3,119,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-03,WY,56,positive,B,1582,3,118,2020,27,2020-06-28,Jul,7,2020-06-01,NA
2020-07-02,AK,02,positive,A,1017,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,1021.5714285714286
2020-07-02,AL,01,positive,B,40111,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,40424.71428571428
2020-07-02,AR,05,positive,A,22075,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,21906.571428571428
2020-07-02,AZ,04,positive,A+,87425,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,87109.28571428571
2020-07-02,CA,06,positive,B,240195,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,239350.57142857142
2020-07-02,CO,08,positive,A,33029,2,119,2020,27,2020-06-28,Jul,7,2020-06-01,33057
2020-07-02,CT,09,positive,B,46646,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,46606.42857142857
2020-07-02,DC,11,positive,A+,10390,2,119,2020,27,2020-06-28,Jul,7,2020-06-01,10391.142857142857
2020-07-02,DE,10,positive,A+,11731,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,11734
2020-07-02,FL,12,positive,A,169106,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,170805
2020-07-02,GA,13,positive,A,87709,2,120,2020,27,2020-06-28,Jul,7,2020-06-01,87426
2020-07-02,HI,15,positive,D,926,2,117,2020,27,2020-06-28,Jul,7,2020-06-01,937.4285714285714
2020-07-02,IA,19,positive,A+,30209,2,118,2020,27,2020-06-28,Jul,7,2020-06-01,30038.85714285714
