date,state,fips,measure,data_quality_grade,COVID tracking deaths,day,days_elapsed,yr,week,week_year,month_lbl,month,floor_month
2020-07-15,NV,32,death,A+,618,15,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,NY,36,death,A,25003,15,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,OH,39,death,B,3075,15,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,OK,40,death,A+,432,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,OR,41,death,A+,244,15,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,PA,42,death,A+,6957,15,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,RI,44,death,A+,987,15,136,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,SC,45,death,A,998,15,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,SD,46,death,B,111,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,TN,47,death,A,783,15,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,TX,48,death,B,3432,15,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,UT,49,death,A+,233,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,VA,51,death,A+,1992,15,132,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,VT,50,death,B,56,15,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,WA,53,death,B,1404,15,175,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,WI,55,death,A+,834,15,133,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,WV,54,death,B,97,15,131,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-15,WY,56,death,B,22,15,130,2020,29,2020-07-12,Jul,7,2020-07-01
2020-07-14,AK,02,death,A,17,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,AL,01,death,B,1164,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,AR,05,death,A,331,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,AZ,04,death,A+,2337,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,CA,06,death,B,7087,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,CO,08,death,A,1589,14,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,CT,09,death,B,4372,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,DC,11,death,A+,568,14,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,DE,10,death,A+,518,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,FL,12,death,A,4514,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,GA,13,death,A,3054,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,HI,15,death,D,22,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,IA,19,death,A+,757,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,ID,16,death,A,102,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,IL,17,death,A,7419,14,132,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,IN,18,death,A+,2775,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,KS,20,death,A,288,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,KY,21,death,B,635,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,LA,22,death,B,3445,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,MA,25,death,A+,8340,14,124,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,MD,24,death,A,3334,14,131,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,ME,23,death,A+,114,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,MI,26,death,A+,6326,14,135,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,MN,27,death,A,1548,14,130,2020,28,2020-07-12,Jul,7,2020-07-01
2020-07-14,MO,29,death,B,1093,14,129,2020,28,2020-07-12,Jul,7,2020-07-01
