country_region,date,Confirmed,Recovered,Deaths,New Cases,region,code
San Marino,2020-07-10,699,656,42,0,San Marino,SMR
Malta,2020-07-10,674,658,9,0,Malta,MLT
Namibia,2020-07-10,668,25,1,53,Namibia,NAM
Tanzania,2020-07-10,509,183,21,0,Tanzania,TZA
Angola,2020-07-10,458,117,23,62,Angola,AGO
Taiwan*,2020-07-10,449,438,7,0,NA,NA
Syria,2020-07-10,394,0,16,22,NA,NA
Vietnam,2020-07-10,370,350,0,1,Vietnam,VNM
Mauritius,2020-07-10,342,330,10,0,Mauritius,MUS
Burma,2020-07-10,326,256,6,5,NA,NA
Botswana,2020-07-10,314,31,1,0,Botswana,BWA
Comoros,2020-07-10,314,272,7,0,Comoros,COM
Guyana,2020-07-10,290,134,16,4,Guyana,GUY
Eritrea,2020-07-10,232,107,0,0,NA,NA
Mongolia,2020-07-10,227,200,0,0,Mongolia,MNG
Burundi,2020-07-10,191,118,1,0,Burundi,BDI
Lesotho,2020-07-10,184,26,1,50,Lesotho,LSO
Brunei,2020-07-10,141,138,3,0,NA,NA
Cambodia,2020-07-10,141,131,0,0,Cambodia,KHM
Trinidad and Tobago,2020-07-10,133,120,8,0,Trinidad and Tobago,TTO
Bahamas,2020-07-10,108,89,11,1,"Bahamas, The",BHS
Monaco,2020-07-10,108,96,4,0,NA,NA
Seychelles,2020-07-10,100,11,0,6,Seychelles,SYC
Barbados,2020-07-10,98,90,7,0,Barbados,BRB
Liechtenstein,2020-07-10,84,81,1,0,NA,NA
Bhutan,2020-07-10,80,55,0,0,Bhutan,BTN
Antigua and Barbuda,2020-07-10,74,57,3,1,Antigua and Barbuda,ATG
Gambia,2020-07-10,64,34,3,1,"Gambia, The",GMB
Belize,2020-07-10,37,20,2,7,Belize,BLZ
Saint Vincent and the Grenadines,2020-07-10,29,29,0,0,NA,NA
Fiji,2020-07-10,26,18,0,0,Fiji,FJI
Timor-Leste,2020-07-10,24,0,0,0,Timor-Leste,TLS
Grenada,2020-07-10,23,0,0,0,Grenada,GRD
Saint Lucia,2020-07-10,22,19,0,0,NA,NA
Laos,2020-07-10,19,0,0,0,NA,NA
Dominica,2020-07-10,18,18,0,0,Dominica,DMA
Saint Kitts and Nevis,2020-07-10,17,15,0,1,NA,NA
Holy See,2020-07-10,12,12,0,0,NA,NA
Papua New Guinea,2020-07-10,11,8,0,0,Papua New Guinea,PNG
Western Sahara,2020-07-10,10,8,1,0,NA,NA
