date,status,cases
2020-06-03,Deaths,387013
2020-06-03,Recovered,2823638
2020-06-04,Confirmed,6623083
2020-06-04,Deaths,392161
2020-06-04,Recovered,2892984
2020-06-05,Confirmed,6755724
2020-06-05,Deaths,396983
2020-06-05,Recovered,2961245
2020-06-06,Confirmed,6881530
2020-06-06,Deaths,400801
2020-06-06,Recovered,3032422
2020-06-07,Confirmed,6993970
2020-06-07,Deaths,403550
2020-06-07,Recovered,3086926
2020-06-08,Confirmed,7097409
2020-06-08,Deaths,407306
2020-06-08,Recovered,3237848
2020-06-09,Confirmed,7220392
2020-06-09,Deaths,412161
2020-06-09,Recovered,3319329
2020-06-10,Confirmed,7354172
2020-06-10,Deaths,417366
2020-06-10,Recovered,3397362
2020-06-11,Confirmed,7492360
2020-06-11,Deaths,422150
2020-06-11,Recovered,3482329
2020-06-12,Confirmed,7621346
2020-06-12,Deaths,426445
2020-06-12,Recovered,3561141
2020-06-13,Confirmed,7755445
2020-06-13,Deaths,430695
2020-06-13,Recovered,3646256
2020-06-14,Confirmed,7888575
2020-06-14,Deaths,434041
2020-06-14,Recovered,3716214
2020-06-15,Confirmed,8010360
2020-06-15,Deaths,437545
2020-06-15,Recovered,3795613
2020-06-16,Confirmed,8149939
2020-06-16,Deaths,444334
2020-06-16,Recovered,3893008
2020-06-17,Confirmed,8325831
2020-06-17,Deaths,449605
2020-06-17,Recovered,4010413
2020-06-18,Confirmed,8464706
2020-06-18,Deaths,454614
2020-06-18,Recovered,4091040
2020-06-19,Confirmed,8645640
2020-06-19,Deaths,460883
2020-06-19,Recovered,4185510
2020-06-20,Confirmed,8803904
2020-06-20,Deaths,465151
2020-06-20,Recovered,4300822
2020-06-21,Confirmed,8934807
2020-06-21,Deaths,469208
2020-06-21,Recovered,4369091
2020-06-22,Confirmed,9072666
2020-06-22,Deaths,472779
2020-06-22,Recovered,4460324
2020-06-23,Confirmed,9238013
2020-06-23,Deaths,478203
2020-06-23,Recovered,4563932
2020-06-24,Confirmed,9405649
2020-06-24,Deaths,483377
2020-06-24,Recovered,4679247
2020-06-25,Confirmed,9583608
2020-06-25,Deaths,489928
2020-06-25,Recovered,4771711
2020-06-26,Confirmed,9774609
2020-06-26,Deaths,494773
2020-06-26,Recovered,4878026
2020-06-27,Confirmed,9952423
2020-06-27,Deaths,499291
2020-06-27,Recovered,4984068
2020-06-28,Confirmed,10117641
2020-06-28,Deaths,502450
2020-06-28,Recovered,5072856
2020-06-29,Confirmed,10273510
2020-06-29,Deaths,506076
2020-06-29,Recovered,5166760
2020-06-30,Confirmed,10447879
2020-06-30,Deaths,511268
2020-06-30,Recovered,5283724
2020-07-01,Confirmed,10664168
2020-07-01,Deaths,516253
2020-07-01,Recovered,5399355
2020-07-02,Confirmed,10871926
2020-07-02,Deaths,521361
2020-07-02,Recovered,5683748
2020-07-03,Confirmed,11076086
2020-07-03,Deaths,526419
2020-07-03,Recovered,5793219
2020-07-04,Confirmed,11269114
2020-07-04,Deaths,530767
2020-07-04,Recovered,5988655
2020-07-05,Confirmed,11452196
2020-07-05,Deaths,534280
2020-07-05,Recovered,6107828
2020-07-06,Confirmed,11620096
2020-07-06,Deaths,538058
2020-07-06,Recovered,6231058
2020-07-07,Confirmed,11829602
2020-07-07,Deaths,544163
2020-07-07,Recovered,6375808
