country_region,date,Confirmed,recovered_sum,deaths_sum,New Case,region,code,year
Monaco,2020-07-07,108,95,4,0,NA,NA,NA
Bahamas,2020-07-07,104,89,11,0,"Bahamas, The",BHS,2016
Barbados,2020-07-07,98,90,7,0,Barbados,BRB,2016
Lesotho,2020-07-07,91,11,0,0,Lesotho,LSO,2016
Liechtenstein,2020-07-07,84,81,1,0,NA,NA,NA
Seychelles,2020-07-07,81,11,0,0,Seychelles,SYC,2016
Bhutan,2020-07-07,80,55,0,0,Bhutan,BTN,2016
Antigua and Barbuda,2020-07-07,70,23,3,0,Antigua and Barbuda,ATG,2016
Gambia,2020-07-07,61,27,3,0,"Gambia, The",GMB,2016
Belize,2020-07-07,30,19,2,0,Belize,BLZ,2016
Saint Vincent and the Grenadines,2020-07-07,29,29,0,0,NA,NA,NA
Timor-Leste,2020-07-07,24,0,0,0,Timor-Leste,TLS,2016
Grenada,2020-07-07,23,23,0,0,Grenada,GRD,2016
Saint Lucia,2020-07-07,22,19,0,0,NA,NA,NA
Fiji,2020-07-07,21,18,0,0,Fiji,FJI,2016
Laos,2020-07-07,19,19,0,0,NA,NA,NA
Dominica,2020-07-07,18,18,0,0,Dominica,DMA,2016
Saint Kitts and Nevis,2020-07-07,16,15,0,0,NA,NA,NA
Holy See,2020-07-07,12,12,0,0,NA,NA,NA
Papua New Guinea,2020-07-07,11,8,0,0,Papua New Guinea,PNG,2016
Western Sahara,2020-07-07,10,8,1,0,NA,NA,NA
