State,polygon,long,lat
New South Wales,2,146.4143372,-35.9754524
New South Wales,2,146.4023895,-35.9892044
New South Wales,2,146.4000549,-36.0042191
New South Wales,2,146.3803558,-36.0133133
New South Wales,2,146.3874054,-36.034008
New South Wales,2,146.3672638,-36.0503922
New South Wales,2,146.3459473,-36.0293007
New South Wales,2,146.3314819,-36.0265846
New South Wales,2,146.3240814,-36.0416985
New South Wales,2,146.299881,-36.0477943
New South Wales,2,146.2816162,-36.0239754
New South Wales,2,146.2618256,-36.0157967
New South Wales,2,146.2427978,-36.028965
New South Wales,2,146.2112885,-36.0292206
New South Wales,2,146.1885529,-36.041523
New South Wales,2,146.1743622,-36.0203781
New South Wales,2,146.1526642,-36.0244827
New South Wales,2,146.1417847,-36.0173798
New South Wales,2,146.0993042,-36.0132141
New South Wales,2,146.0936279,-36.0211067
New South Wales,2,146.0588226,-36.0134849
New South Wales,2,146.0328064,-35.9947739
New South Wales,2,146.0167847,-36.0047684
New South Wales,2,145.9866943,-36.0132561
New South Wales,2,145.9677734,-36.0058365
New South Wales,2,145.9527588,-35.9918633
New South Wales,2,145.9514923,-35.976570100000004
New South Wales,2,145.9080048,-35.9535637
New South Wales,2,145.8705597,-35.9554749
New South Wales,2,145.848999,-35.9692573
New South Wales,2,145.8442535,-35.9830055
New South Wales,2,145.7934418,-35.9828186
New South Wales,2,145.7771912,-35.9703636
New South Wales,2,145.7782135,-35.9602432
New South Wales,2,145.7446136,-35.963726
New South Wales,2,145.7224121,-35.9381599
New South Wales,2,145.6884308,-35.9231071
New South Wales,2,145.6804657,-35.9288254
New South Wales,2,145.6615295,-35.9124146
New South Wales,2,145.6574554,-35.9006844
New South Wales,2,145.6394501,-35.8940277
New South Wales,2,145.6298676,-35.880333
New South Wales,2,145.60849,-35.8704338
New South Wales,2,145.564621,-35.8344841
New South Wales,2,145.5571594,-35.8200798
New South Wales,2,145.5270843,-35.8067589
New South Wales,2,145.5213165,-35.8186493
New South Wales,2,145.4972382,-35.8089714
New South Wales,2,145.4776611,-35.8108406
New South Wales,2,145.4615936,-35.8271904
New South Wales,2,145.4118652,-35.8314171
New South Wales,2,145.4119263,-35.8466759
New South Wales,2,145.387146,-35.8501434
New South Wales,2,145.3773651,-35.8587799
New South Wales,2,145.3414917,-35.8623848
New South Wales,2,145.3231201,-35.8510132
New South Wales,2,145.3074646,-35.8604622
